year,iso,pop,rgdpmad,xrusd,eq_tr,eq_capgain,eq_div_rtn
2000,ITA,57719.34,18761.371602685209,2080.8919935518538,8.8582433760166168E-2,6.7666128277778625E-2,2.0916307345032692E-2
2001,ITA,57844.92,19062.439916661428,2197.0611596505164,-0.22175303101539612,-0.23870967328548431,1.6956653445959091E-2
2002,ITA,57927,19100.471045688388,1846.3526270620771,-0.18565772473812103,-0.21610169112682343,3.044397383928299E-2
2003,ITA,57998.35,19006.708489859055,1533.0720506730008,0.17215919494628906,0.13640698790550232,3.5752195864915848E-2
2004,ITA,58057.48,19210.519703975657,1421.5329270978636,0.2637886106967926,0.20509234070777893,5.8696266263723373E-2
2005,ITA,58103.03,19283.733171442167,1641.3240654403662,0.20897156000137329,0.15451590716838837,5.4455649107694626E-2
2006,ITA,58133.51,19629.60635333147,1470.2126044039483,0.22232277691364288,0.17234791815280914,4.9974862486124039E-2
2007,ITA,58147.73,19841.538671196064,1315.3114598193049,-4.1954591870307922E-2,-7.8480146825313568E-2,3.6525554955005646E-2
2008,ITA,58145.32,19460.495847314502,1391.2984120140827,-0.46840116381645203,-0.49906924366950989,3.0668079853057861E-2
2009,ITA,58558.23632622623,18278.625580046355,1344.0719144800769,0.2256501317024231,0.17521367967128754,5.0436463207006454E-2
2010,ITA,58823.330578624445,18520.425122909404,1449.0869630294867,-7.4591457843780518E-2,-0.11130435019731522,3.67128886282444E-2
2011,ITA,59077.584545608617,18551.197642275638,1496.460313780045,-0.21318712830543518,-0.24550791084766388,3.2320789992809296E-2
2012,ITA,59232.30498288192,17951.283874349927,1467.5382749734729,0.13067872822284698,8.3942465484142303E-2,4.673626646399498E-2
2013,ITA,59401.80762753803,17570.474942178338,1404.0098615038794,0.2284296452999115,0.18512073159217834,4.3308913707733154E-2
2014,ITA,59469.805781498915,17549.695961443445,1594.8192076435216,3.4662496298551559E-2,6.4243758097290993E-3,2.8238119557499886E-2
2015,ITA,59419.546276397399,17701.075746228515,1778.5156608799487,0.17594458162784576,0.14371694624423981,3.2227642834186554E-2
2016,ITA,59290.448331920939,17969.303621967574,1836.8940328242102,-4.6300001442432404E-2,-8.0700002610683441E-2,3.4400001168251038E-2
2017,ITA,59194.856724178826,18298.508376973208,1614.5001250729601,0.17990000545978546,0.1437000036239624,3.6199998110532761E-2
2018,ITA,59067.729740686744,18510.573909341612,1691.0655021834059,-0.1242000013589859,-0.15139999985694885,2.7200000360608101E-2
2019,ITA,58948.48660113215,18601.359196772417,1723.5802029553136,0.28169998526573181,0.22920000553131104,5.2499998360872269E-2
2020,ITA,58775.042034507285,17000.999643522366,1577.9235596120932,-4.179999977350235E-2,-6.3299998641014099E-2,2.1500000730156898E-2
1924,JPN,58686,1836.3172136455032,2.4300000000000002,7.4289828538894653E-2,-1.7846032977104187E-2,6.2091775238513947E-2
1925,JPN,59522,1885.1617553173614,2.44,0.122518390417099,4.5243524014949799E-2,6.3759855926036835E-2
1926,JPN,60490,1871.5777814514795,2.12,0.16275745630264282,9.0480417013168335E-2,5.9060417115688324E-2
1927,JPN,61430,1869.7665472895978,2.11,-6.5347835421562195E-2,-0.11886780709028244,4.8321288079023361E-2
1928,JPN,62361,1992.3718670322799,2.15,0.10608211159706116,3.355739638209343E-2,5.2680425345897675E-2
1929,JPN,63244,2025.7346783884636,2.17,-0.10819262266159058,-0.16595055162906647,5.0801951438188553E-2
1930,JPN,64203,1850.3913212778218,2.02,-0.27407503128051758,-0.32488423585891724,4.5961882919073105E-2
1931,JPN,65205,1837.3409401119545,2.0499999999999998,0.12479005753993988,5.3608279675245285E-2,5.8401506394147873E-2
1932,JPN,66189,1961.5832842315185,3.56,0.13486121594905853,7.3256306350231171E-2,5.2643217146396637E-2
1933,JPN,67182,2122.435622637016,3.9,0.33765870332717896,0.27998265624046326,4.9804128706455231E-2
1934,JPN,68090,2098.341636069908,3.37,5.9989787638187408E-2,5.2823219448328018E-3,4.3739840388298035E-2
1935,JPN,69238,2120.4684855137352,3.48,9.3329541385173798E-2,3.5261709243059158E-2,5.003419890999794E-2
1936,JPN,70171,2244.4213991534966,3.45,8.1843011081218719E-2,-9.2740422114729881E-3,5.2429217845201492E-2
1937,JPN,71278,2315.1162911417268,3.47,0.17716388404369354,0.10328774154186249,5.4767198860645294E-2
1938,JPN,71879,2449.2747673172967,3.52,-2.3710934445261955E-2,-0.10243625938892365,4.9527566879987717E-2
1939,JPN,72364,2816.0567685589517,3.85,7.5086347758769989E-2,5.9569845907390118E-3,5.659513920545578E-2
1940,JPN,72967,2874.2901722696556,4.2699999999999996,9.5591045916080475E-2,2.3696824908256531E-2,5.4921332746744156E-2
1941,JPN,74005,2872.7038848726434,4.2699999999999996,-0.17919501662254333,-0.2288583517074585,4.9663327634334564E-2
1942,JPN,75029,2818.2169960948431,4.29,0.24850156903266907,0.1877998560667038,6.0701724141836166E-2
1943,JPN,76005,2821.6226432471553,4.29,0.23009781539440155,0.18003462255001068,5.0063196569681168E-2
1944,JPN,77178,2658.9726606027621,4.29,7.2212010622024536E-2,3.0806846916675568E-2,4.1405163705348969E-2
